left_bin,right_bin,count
0.0,1.0,7
1.0,0.0,4
1.0,1.0,79
2.0,2.0,7
2.0,3.0,2
3.0,2.0,1
3.0,3.0,1
3.0,4.0,1
4.0,3.0,1
4.0,4.0,1
7.0,6.0,1
8.0,8.0,1
10.0,10.0,2
