left_bin,right_bin,count
0.0,1.0,8
1.0,0.0,5
1.0,1.0,77
1.0,2.0,1
2.0,1.0,6
2.0,2.0,6
3.0,3.0,2
4.0,4.0,1
8.0,7.0,1
8.0,8.0,1
10.0,10.0,2
