left_bin,right_bin,count
0.0,1.0,80
1.0,0.0,51
1.0,1.0,108
1.0,2.0,1
2.0,0.0,1
2.0,1.0,6
2.0,2.0,7
2.0,3.0,2
2.0,4.0,1
3.0,2.0,2
3.0,3.0,2
3.0,4.0,1
6.0,5.0,1
10.0,9.0,1
