label,perc
Roger Ailes,0.983263598326
Harvey Weinstein,0.569037656904
Gretchen Carlson,0.38912133891199996
Donald Trump,0.380753138075
Bill Cosby,0.213389121339
Fox,0.200836820084
Roy Moore,0.200836820084
Matt Lauer,0.15062761506300001
Bill O'Reilly,0.14644351464400002
Al Franken,0.142259414226
Bill Clinton,0.129707112971
Kevin Spacey,0.129707112971
Clarence Thomas,0.12552301255200002
Charlie Rose,0.12133891213400001
Anita Hill,0.11715481171499999
Hillary Clinton,0.112970711297
Trump,0.112970711297
Kirsten Gillibrand,0.108786610879
Mark Halperin,0.108786610879
Bill O’Reilly,0.108786610879
Rob Porter,0.07949790794980001
Alyssa Milano,0.07949790794980001
James Toback,0.07949790794980001
Bill Shine,0.071129707113
Ashley Judd,0.0669456066946
Brett Kavanaugh,0.0669456066946
Tarana Burke,0.0669456066946
Ronan Farrow,0.06276150627619999
Susan Fowler,0.05439330543930001
John Kelly,0.050209205020900004
Megyn Kelly,0.050209205020900004
Sam Haskell,0.050209205020900004
Obama,0.0460251046025
Steve Bannon,0.0460251046025
Mitch McConnell,0.0460251046025
Lindsey Graham,0.0460251046025
Christine Blasey Ford,0.0460251046025
Barack Obama,0.0418410041841
Gloria Allred,0.0418410041841
Leon Wieseltier,0.0418410041841
John Conyers,0.0418410041841
Rose McGowan,0.0418410041841
Louis C.K.,0.0418410041841
Elizabeth Warren,0.0376569037657
Sean Hannity,0.0376569037657
Jodi Kantor,0.0376569037657
Monica Lewinsky,0.0334728033473
Kellyanne Conway,0.0334728033473
Brett Ratner,0.0334728033473
Summer Zervos,0.0334728033473
Angelina Jolie,0.029288702928900002
Paul Ryan,0.029288702928900002
Robert Mueller,0.029288702928900002
Clintons,0.029288702928900002
George H.W. Bush,0.029288702928900002
Tom Brokaw,0.029288702928900002
Jim Jordan,0.029288702928900002
Rod Rosenstein,0.029288702928900002
Les Moonves,0.029288702928900002
Larry Nassar,0.029288702928900002
Roy Price,0.029288702928900002
Regina Hopper,0.029288702928900002
Vladimir Putin,0.0251046025105
Donald Trump Jr.,0.0251046025105
Joe Biden,0.0251046025105
Rupert Murdoch,0.0251046025105
Sarah Huckabee Sanders,0.0251046025105
Jackie Speier,0.0251046025105
Woody Allen,0.0251046025105
Travis Kalanick,0.0251046025105
Leslie Moonves,0.0251046025105
Anthony Rapp,0.0251046025105
Doug Jones,0.0251046025105
Andrea Constand,0.0251046025105
Blake Farenthold,0.0251046025105
Rebecca Traister,0.0251046025105
Megan Twohey,0.0251046025105
Debra Katz,0.0251046025105
Justin Caldbeck,0.0251046025105
David Sorensen,0.0251046025105
Colbie Holderness,0.0251046025105
Jeff Sessions,0.0209205020921
Kamala Harris,0.0209205020921
Kim Jong-un,0.0209205020921
Chuck Schumer,0.0209205020921
Billy Bush,0.0209205020921
Rachel Maddow,0.0209205020921
Lena Dunham,0.0209205020921
Scott Pruitt,0.0209205020921
Howard Stern,0.0209205020921
Brad Smith,0.0209205020921
Don McGahn,0.0209205020921
Jane Mayer,0.0209205020921
Alisyn Camerota,0.0209205020921
Ken Starr,0.0209205020921
Ben Affleck,0.0209205020921
DONALD TRUMP,0.0209205020921
Jeff Fager,0.0209205020921
Linda Vester,0.0209205020921
Illeana Douglas,0.0209205020921
Mike Pence,0.0167364016736
Hillary,0.0167364016736
John Bolton,0.0167364016736
George W. Bush,0.0167364016736
Hope Hicks,0.0167364016736
Jesus,0.0167364016736
Gloria Steinem,0.0167364016736
Jennifer Lawrence,0.0167364016736
Taylor Swift,0.0167364016736
Sarah Sanders,0.0167364016736
Steve Wynn,0.0167364016736
Michael Cohen,0.0167364016736
Andrea Mitchell,0.0167364016736
Oprah Winfrey,0.0167364016736
Bob Packwood,0.0167364016736
Jessica Leeds,0.0167364016736
Lisa Bloom,0.0167364016736
Katie Couric,0.0167364016736
Mika Brzezinski,0.0167364016736
Mike Tyson,0.0167364016736
Joshua Green,0.0167364016736
Wendy Walsh,0.0167364016736
Lupita Nyong,0.0167364016736
Seung Min Kim,0.0167364016736
Paula  Jones,0.0167364016736
Juanita Broaddrick,0.0167364016736
Dustin Hoffman,0.0167364016736
Lis Wiehl,0.0167364016736
Brett M. Kavanaugh,0.0167364016736
Laurie Luhn,0.0167364016736
Mira Sorvino,0.0167364016736
Louis CK,0.0167364016736
McKayla Maroney,0.0167364016736
John Besh,0.0167364016736
Cara Mund,0.0167364016736
America Cara Mund,0.0167364016736
Isa Hackett,0.0167364016736
Donald J. Trump,0.0125523012552
Bernie Sanders,0.0125523012552
Paul Manafort,0.0125523012552
James Comey,0.0125523012552
Michelle Obama,0.0125523012552
Leon Panetta,0.0125523012552
Claire McCaskill,0.0125523012552
George Clooney,0.0125523012552
Ivanka Trump,0.0125523012552
John Wagner,0.0125523012552
Maria,0.0125523012552
Alec Baldwin,0.0125523012552
Jeffrey Tambor,0.0125523012552
Matt Damon,0.0125523012552
Anthony Kennedy,0.0125523012552
Corey Stewart,0.0125523012552
Melania Trump,0.0125523012552
Susan Collins,0.0125523012552
HuffPost,0.0125523012552
Kim Jong Un,0.0125523012552
Colin Kaepernick,0.0125523012552
Gabriel Sherman,0.0125523012552
Natasha Stoynoff,0.0125523012552
Mueller,0.0125523012552
Lachlan,0.0125523012552
Andrea Tantaros,0.0125523012552
Barbara Comstock,0.0125523012552
Laura Ingraham,0.0125523012552
Geraldo Rivera,0.0125523012552
Jia Tolentino,0.0125523012552
Jill Abramson,0.0125523012552
Marc Short,0.0125523012552
Jake Tapper,0.0125523012552
R. Kelly,0.0125523012552
Masha Gessen,0.0125523012552
Eric Bolling,0.0125523012552
Ann Curry,0.0125523012552
Walter Jones,0.0125523012552
Ryan Seacrest,0.0125523012552
William Morris,0.0125523012552
Elise Stefanik,0.0125523012552
Lesley Stahl,0.0125523012552
Maxine Waters,0.0125523012552
Sumner Redstone,0.0125523012552
Shari Redstone,0.0125523012552
Cheri Bustos,0.0125523012552
Dick Clark,0.0125523012552
Lynn Weidner,0.0125523012552
Aziz Ansari,0.0125523012552
Kate Shindle,0.0125523012552
George Stephanopoulos,0.0125523012552
RAINN,0.0125523012552
Jeremy Piven,0.0125523012552
Robert Porter,0.0125523012552
Daniels,0.0125523012552
Victoria Lipnic,0.0125523012552
Raj Shah,0.0125523012552
Julie Roginsky,0.0125523012552
Rachel Crooks,0.0125523012552
Ian Ayres,0.0125523012552
Matthew Weiner,0.0125523012552
Selma Blair,0.0125523012552
North Dakota Cara Mund,0.0125523012552
David Mueller,0.0125523012552
Mike Memoli,0.0125523012552
Terry Richardson,0.0125523012552
Anna North,0.0125523012552
Nancy Erika Smith,0.0125523012552
Meryl Streep,0.0125523012552
-- Trump,0.0125523012552
Janice Dickinson,0.0125523012552
Andy Kropa/Invision/AP,0.0125523012552
Kim Yo-jong,0.0125523012552
-- The Trump,0.0125523012552
Lewis Friedman,0.0125523012552
