left_bin,right_bin,count
0.0,1.0,165
1.0,0.0,154
1.0,1.0,343
1.0,2.0,1
2.0,1.0,2
2.0,2.0,1
2.0,3.0,1
4.0,3.0,1
5.0,4.0,1
10.0,10.0,1
