label,perc
yorker kavanaugh college,0.001
yorker interviewed classmate,0.001
yorker freshmen yale,0.001
yorker exposing drunken,0.001
yorker deborah ramirez,0.001
yorker christine blasey,0.001
yorker allegations kavanaugh,0.001
yls colleague amy,0.001
yearslong serial abuser,0.001
yearbook yale fraternity,0.001
year's midterms echoing,0.001
year's high-profile resignations,0.001
yeah toot horn,0.001
yawning gender gap,0.001
yale school's clerkship,0.001
yale professor kavanaugh,0.001
yale mag's nadine,0.001
yale kavanaugh breeding,0.001
yale journal prestigious,0.001
yale interviewing clerkships,0.001
yale freshman kavanaugh,0.001
yale fraternity professed,0.001
yale clayton kozinski,0.001
yale classmates kavanaugh,0.001
yale classmate deborah,0.001
yale alleged assaults,0.001
yahoo news's hunter,0.001
y'all late-breaking kavanaugh,0.001
wynette bona fides,0.001
wrought intimidated constrictions,0.001
wrongdoing senators confirm,0.001
wrongdoing michael nelson,0.001
writer wajahat ali,0.001
writer facebook rebut,0.001
write-in tea challenger,0.001
wreckage pathway cooperation,0.001
worldview conservatives victims,0.001
workplace mazie hirono,0.001
workplace harassment infractions,0.001
workouts high-school quarterback,0.001
woody allen assault,0.001
woodruff calling judge,0.001
wood-paneled judiciary ordinarily,0.001
women's solicited senate,0.001
women's semantic slippage,0.001
women's marches teachers,0.001
women's marches emergence,0.001
women's kavanaugh overturns,0.001
women's assault harassment,0.001
wolf smartly skewered,0.001
wittes kavanaugh dispel,0.001
witnessing supreme misconduct,0.001
witnessing ford's sincerity,0.001
withholding kavanaugh's george,0.001
withholding constituent describing,0.001
withdraws intensify lindsey,0.001
withdrawing kavanaugh aggressive,0.001
withdraw kavanaugh's nomination,0.001
withdraw confirmation ridiculous,0.001
wise cliff huxtable,0.001
willingness kavanaugh confirmation,0.001
williams professor gender,0.001
whitehouse prosecutor veterans,0.001
whitehouse malpractice sexual-assault,0.001
whelan's brett kavanaugh's,0.001
whelan positing twitter,0.001
whelan google google,0.001
well-qualified senate confirmation,0.001
well-known anti-trump michael,0.001
well-connected democrat ties,0.001
welcoming supportive grimes,0.001
welcomes appreciates senators,0.001
weinstein's decades-long alleged,0.001
weinstein moonves lauer,0.001
weinstein john conyers,0.001
weinstein franken toppled,0.001
weights workouts high-school,0.001
weighed democrats kavanaugh,0.001
