left_bin,right_bin,count
0.0,1.0,142
1.0,0.0,141
1.0,1.0,313
2.0,1.0,6
2.0,2.0,8
2.0,3.0,2
2.0,4.0,1
3.0,1.0,2
3.0,3.0,1
3.0,4.0,1
4.0,4.0,2
5.0,3.0,1
10.0,7.0,1
10.0,10.0,1
