left_bin,right_bin,count
0.0,1.0,816
0.0,2.0,144
0.0,3.0,16
0.0,5.0,1
0.0,8.0,6
1.0,0.0,938
1.0,1.0,9
1.0,2.0,1
2.0,0.0,38
2.0,3.0,3
3.0,0.0,4
3.0,3.0,1
3.0,5.0,1
4.0,1.0,1
4.0,10.0,1
5.0,0.0,2
8.0,0.0,1
