left_bin,right_bin,count
0.0,1.0,848
0.0,2.0,1
1.0,0.0,845
1.0,1.0,117
1.0,2.0,6
1.0,3.0,1
2.0,0.0,4
2.0,1.0,5
2.0,2.0,8
2.0,3.0,1
3.0,1.0,1
3.0,2.0,1
3.0,3.0,3
4.0,2.0,2
4.0,3.0,1
5.0,3.0,1
5.0,5.0,1
5.0,6.0,1
6.0,5.0,1
10.0,4.0,1
