left_bin,right_bin,count
0.0,1.0,760
1.0,0.0,760
1.0,1.0,228
1.0,2.0,2
2.0,2.0,4
2.0,3.0,1
3.0,3.0,3
3.0,4.0,1
10.0,10.0,1
