left_bin,right_bin,count
0.0,1.0,841
0.0,2.0,15
0.0,4.0,1
1.0,0.0,838
1.0,1.0,84
1.0,2.0,5
1.0,3.0,1
2.0,0.0,19
2.0,1.0,17
2.0,2.0,15
2.0,3.0,4
2.0,4.0,1
3.0,1.0,3
3.0,2.0,2
3.0,4.0,1
4.0,1.0,1
4.0,3.0,2
4.0,4.0,1
4.0,6.0,1
5.0,4.0,1
6.0,5.0,1
7.0,6.0,1
9.0,10.0,1
10.0,10.0,1
