left_bin,right_bin,count
0.0,1.0,900
0.0,2.0,9
1.0,0.0,907
1.0,1.0,70
1.0,2.0,7
1.0,4.0,1
2.0,0.0,2
2.0,1.0,3
2.0,2.0,4
2.0,3.0,1
3.0,1.0,1
3.0,3.0,1
5.0,2.0,1
5.0,4.0,1
8.0,10.0,1
