left_bin,right_bin,count
0.0,1.0,669
1.0,0.0,649
1.0,1.0,346
1.0,2.0,1
1.0,5.0,1
2.0,1.0,1
2.0,2.0,2
3.0,3.0,1
5.0,1.0,1
5.0,5.0,1
10.0,10.0,1
