left_bin,right_bin,count
0.0,1.0,60
1.0,0.0,70
1.0,1.0,195
2.0,1.0,1
2.0,2.0,5
3.0,2.0,1
3.0,3.0,1
4.0,4.0,2
5.0,4.0,1
6.0,6.0,1
10.0,10.0,1
