a1_bin,a2_bin,count
0.0,1.0,28
0.0,2.0,1
1.0,0.0,17
1.0,1.0,32
1.0,2.0,3
1.0,3.0,1
2.0,1.0,3
3.0,1.0,1
4.0,1.0,2
4.0,3.0,1
6.0,9.0,2
7.0,1.0,1
10.0,2.0,1
