a1_bin,a2_bin,count
0.0,1.0,798
0.0,2.0,2
0.0,10.0,1
1.0,0.0,798
1.0,1.0,196
1.0,2.0,1
1.0,3.0,1
2.0,1.0,1
4.0,0.0,1
7.0,0.0,1
