a1_bin,a2_bin,count
0.0,1.0,783
0.0,2.0,2
0.0,3.0,1
0.0,7.0,1
1.0,0.0,786
1.0,1.0,204
2.0,0.0,2
2.0,1.0,4
2.0,2.0,3
3.0,1.0,1
10.0,1.0,1
