a1_bin,a2_bin,count
0.0,1.0,976
0.0,2.0,6
0.0,3.0,1
0.0,4.0,1
0.0,10.0,1
1.0,0.0,984
1.0,1.0,13
1.0,7.0,2
2.0,0.0,1
