a1_bin,a2_bin,count
0.0,1.0,661
1.0,0.0,661
1.0,1.0,328
2.0,1.0,4
2.0,2.0,1
3.0,2.0,3
4.0,3.0,1
6.0,4.0,1
10.0,9.0,1
