a1_bin,a2_bin,count
0.0,1.0,727
1.0,0.0,726
1.0,1.0,260
1.0,2.0,7
1.0,7.0,1
2.0,1.0,1
2.0,2.0,2
5.0,1.0,1
10.0,1.0,1
