a1_bin,a2_bin,count
0.0,1.0,800
1.0,0.0,800
1.0,1.0,182
1.0,2.0,7
1.0,3.0,1
2.0,1.0,4
2.0,4.0,1
2.0,10.0,2
3.0,2.0,1
3.0,3.0,1
8.0,4.0,1
