a1_bin,a2_bin,count
0.0,1.0,781
0.0,2.0,2
1.0,0.0,774
1.0,1.0,187
1.0,2.0,6
2.0,0.0,9
2.0,1.0,7
2.0,2.0,2
2.0,3.0,2
3.0,1.0,5
3.0,2.0,2
3.0,4.0,1
5.0,6.0,1
6.0,5.0,1
8.0,2.0,1
9.0,6.0,1
10.0,5.0,1
