a1_bin,a2_bin,count
0.0,1.0,13
0.0,2.0,1
1.0,0.0,16
1.0,1.0,23
1.0,2.0,4
1.0,6.0,1
2.0,0.0,3
2.0,10.0,1
3.0,4.0,1
4.0,1.0,1
5.0,1.0,1
5.0,10.0,2
