a1_bin,a2_bin,count
0.0,1.0,309
1.0,0.0,351
1.0,1.0,192
1.0,2.0,5
1.0,3.0,2
1.0,4.0,1
1.0,10.0,1
2.0,0.0,1
2.0,1.0,3
2.0,2.0,6
3.0,2.0,1
4.0,3.0,1
4.0,4.0,1
5.0,6.0,1
10.0,2.0,1
