a1_bin,a2_bin,count
0.0,1.0,960
0.0,2.0,5
0.0,10.0,1
1.0,0.0,958
1.0,1.0,30
1.0,2.0,1
1.0,5.0,1
2.0,0.0,6
3.0,0.0,2
3.0,1.0,1
7.0,1.0,1
