a1_bin,a2_bin,count
0.0,1.0,478
0.0,2.0,1
1.0,0.0,284
1.0,1.0,199
1.0,2.0,8
1.0,10.0,1
2.0,1.0,1
2.0,2.0,1
3.0,3.0,1
