a1_bin,a2_bin,count
0.0,1.0,132
0.0,2.0,4
1.0,0.0,63
1.0,1.0,54
1.0,2.0,16
1.0,3.0,4
2.0,1.0,2
2.0,2.0,2
2.0,3.0,5
2.0,4.0,5
2.0,5.0,1
3.0,0.0,1
3.0,2.0,1
3.0,3.0,2
3.0,4.0,3
3.0,5.0,1
4.0,5.0,1
6.0,7.0,1
7.0,4.0,1
8.0,10.0,1
9.0,7.0,1
