a1_bin,a2_bin,count
0.0,1.0,115
0.0,4.0,1
1.0,0.0,152
1.0,1.0,101
1.0,2.0,3
2.0,1.0,3
2.0,2.0,1
2.0,3.0,1
3.0,1.0,3
4.0,1.0,1
5.0,1.0,1
7.0,2.0,1
8.0,1.0,2
10.0,2.0,1
