a1_bin,a2_bin,count
0.0,1.0,164
1.0,0.0,70
1.0,1.0,92
1.0,2.0,14
1.0,3.0,2
1.0,4.0,1
1.0,6.0,1
2.0,1.0,1
2.0,2.0,3
2.0,3.0,2
2.0,4.0,1
2.0,5.0,1
2.0,9.0,1
2.0,10.0,1
3.0,1.0,1
4.0,1.0,1
8.0,5.0,1
