a1_bin,a2_bin,count
0.0,1.0,77
1.0,0.0,186
1.0,1.0,70
1.0,2.0,2
1.0,3.0,1
2.0,0.0,4
2.0,1.0,11
2.0,2.0,2
3.0,1.0,2
3.0,2.0,2
4.0,1.0,1
4.0,2.0,1
5.0,2.0,1
5.0,5.0,1
6.0,1.0,1
9.0,1.0,1
10.0,1.0,1
