a1_bin,a2_bin,count
0.0,1.0,790
1.0,0.0,788
1.0,1.0,202
1.0,2.0,1
1.0,3.0,1
2.0,0.0,2
2.0,1.0,3
2.0,2.0,1
5.0,3.0,1
10.0,2.0,1
