a1_bin,a2_bin,count
0.0,1.0,952
0.0,2.0,5
0.0,3.0,3
0.0,10.0,1
1.0,0.0,953
1.0,1.0,36
1.0,3.0,1
2.0,0.0,6
3.0,0.0,2
3.0,1.0,1
6.0,1.0,1
